Site,BurialNumber,DeltaC13Car,DeltaC13Col,DeltaN,C_N,MidDate,MidDate2,AgeID,CompID,PlusSigma,MinusSigma,Source,Setting
41KR241,,-9.03,-16.05,9.53,,1636,-1636,1700,Component III,,,NSF 2015,CTx
41KR241,,-8.19,-17.56,9.04,,1555,-1555,1700,Component III,,,NSF 2015,CTx
41HY163,3,-10.2,-17.8,9.1,3.3,1305,-1305,1500,Component III,1345-1265,,Munoz et al. 2011a,CTx
41HY163,1,-10.2,-17.7,9.4,3.3,1300,-1300,1300,Component III,1340-1260,,Munoz et al. 2011a,CTx
41HY163,2,-9.5,-17.9,8.8,3.3,1215,-1215,1300,Component III,1255-1175,,Munoz et al. 2011a,CTx
41BX952,1,-11.9,-17.7,7.9,Unknown,980,-980,1100,Component III,1050-910,,Cargill 1996,CTx
41WM230,9,-13.1,-18.8,7,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,23,-12.9,-19.8,7.3,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,12,-12.7,-19.7,7.4,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,16,-13.5,-19.9,7.5,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,18,-12.3,-19.2,7.6,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,25,-12.4,-19.5,7.7,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,13,-13,-19.4,7.9,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,22,-14.2,-19.1,7.9,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,17,-12,-18.7,8.4,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,19,-15.4,-18.9,8.6,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,21,-13,-20.2,8.8,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41WM230,23,-14.2,-19.1,8.8,Unknown,965,-965,1100,Component III,1080,850,Huebner 1995,CTx
41KR241,,-9.24,-17.82,8.36,,941,-941,1100,Component III,,,NSF 2015,CTx
41KR241,,-7.22,-16.4,8.48,,922,-922,1100,Component III,,,NSF 2015,CTx
41KR241,,-7.34,-16.46,8.66,,906,-906,1100,Component III,,,NSF 2015,CTx
41BX568,,-8.8,-16.1,9.5,,651,-651,700,Component III,,,Unk,CTx
41BX568,13c,-8.8,-16.5,9.1,3.25,605,-605,700,Component III,655,550,Mauldin et al 2012,CTx
41BX568,4,-8.6,-15.1,10,3.29,604,-604,700,Component III,656,551,Mauldin et al 2012,CTx
41BX568,16a,-8.3,-15.6,9.6,3.22,601,-601,700,Component III,655,547,Mauldin et al 2012,CTx
41BX568,,-8.3,-15.6,9.6,,601,-601,700,Component III,,,Unk,CTx
41BX568,3,-7,-18.2,7.6,3.26,597,-597,700,Component III,651,542,Mauldin et al 2012,CTx
41BX568,16b,-8.8,-16.1,9.5,3.23,593,-593,700,Component III,651,535,Mauldin et al 2012,CTx
41BX568,15,-7.9,-16.7,8,3.26,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,7,-10.9,-17.2,8.5,3.27,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,13a,-8.6,-16.1,9,3.35,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,12,-7.6,-15.1,9.2,3.24,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,5,-8.5,-16.7,9.4,3.33,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,14b,-13.6,-17.7,9.5,3.25,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,2,-8,-17.5,9.5,3.41,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,1,-8.9,-16.3,9.6,3.25,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,6,-9.1,-15.7,9.6,3.25,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,8,-12.9,-17.6,9.8,3.26,590,-590,700,Component III,,,Mauldin et al 2012,CTx
41BX568,,-7.6,-15.1,9.2,,590,-590,700,Component III,,,Unk,CTx
41BX568,9,-9.1,-16.5,8.9,3.24,588,-588,700,Component III,645,530,Mauldin et al 2012,CTx
41BX568,13b,-8.4,-15.8,9.2,3.27,531,-531,700,Component III,555,506,Mauldin et al 2012,CTx
41HY161,1,-7.4,-10.4,13.3,3.2,515,-515,700,Component III,555-475,,Munoz et al. 2011a,CTx
41BX26,76,-4.7,-9.5,11.7,.,469,-469,500,Component III,,,On File- PRL,CTx
41BX677,1,-5.3,-10,10.7,Unknown,415,-415,500,Component III,530-300,,Cargill 1996,CTx
41VT1,6,-8.3,-16.5,12.4,3.3,6897.5,-6897.5,6900,Component II,7000,6795,Hard and Katzenberg 2011,TCP
41VT98,55,,-17.8,11.2,2.8,6815,-6815,6900,Component II,6860,6770,Ricklis et al 2012,TCP
41VT1,,-9.66,-17.5,11.4,,6800,-6800,6900,Component II,,,NSF 2015,TCP
41VT1,AA-10,-8.6,-17.1,11.2,3.3,6780,-6780,6900,Component II,6850,6710,Hard and Katzenberg 2011,TCP
41VT98,5,,-13.6,11.8,2.8,6690,-6690,6700,Component II,6730,6650,Ricklis et al 2012,TCP
41VT98,74,,-15.8,10.9,2.8,6625,-6625,6700,Component II,6670,6580,Ricklis et al 2012,TCP
41VT98,71,,-15.6,11.2,2.8,6555,-6555,6700,Component II,6610,6500,Ricklis et al 2012,TCP
41VT98,27,,-16.2,12.5,2.8,6525,-6525,6700,Component II,6640,6410,Ricklis et al 2012,TCP
41VT1,,-8.7,-16.32,10.5,,6454,-6454,6500,Component II,,,NSF 2015,TCP
41VT98,8,,-13.6,11.5,2.8,6360,-6360,6500,Component II,6430,6290,Ricklis et al 2012,TCP
41VT1,,-8.48,-16.6,9.5,,6350,-6350,6500,Component II,,,NSF 2015,TCP
41VT1,,-9.49,-16.62,9.92,,6348,-6348,6500,Component II,,,NSF 2015,TCP
41VT1,,-9.15,-16.7,9.8,,6345,-6345,6500,Component II,,,NSF 2015,TCP
41VT1,,-10.01,-17.9,9.2,,6325,-6325,6500,Component II,,,NSF 2015,TCP
41VT1,,-9.73,-17.2,10.1,,6300,-6300,6300,Component II,,,NSF 2015,TCP
41VT98,6,,-16.3,11.5,2.8,6260,-6260,6300,Component II,6300,6220,Ricklis et al 2012,TCP
41VT1,,-9.06,-16.95,9.9,,6234,-6234,6300,Component II,,,NSF 2015,TCP
41VT1,,-9.17,-17.78,9.54,,6218,-6218,6300,Component II,,,NSF 2015,TCP
41VT1,,-11.61,-16.7,8.85,,6207,-6207,6300,Component II,,,NSF 2015,TCP
41AU36,,-9.66,-17.7,12.44,,6082,-6082,6100,Component II,,,NSF 2015,TCP
41AU36,,-11.62,-18.98,9.57,,5517,-5517,5700,Component II,,,NSF 2015,TCP
41AU36,,-9.95,-18.08,11.19,,5394,-5394,5500,Component II,,,NSF 2015,TCP
41AU36,,-7.26,-18.49,12.01,,5163,-5163,5300,Component II,,,NSF 2015,TCP
41AU36,,-9.57,-18.74,11.35,,5158,-5158,5300,Component II,,,NSF 2015,TCP
41VT1,,-7.37,-17.31,10.57,,5081,-5081,5100,Component II,,,NSF 2015,TCP
41AU36,,-8.18,-18.42,11.66,,4925,-4925,5100,Component II,,,NSF 2015,TCP
41VT1,,-10.99,-18.5,10.1,,4900,-4900,4900,Component II,,,NSF 2015,TCP
41VT1,AA-1,-9.6,-18.3,9.1,3.3,4835,-4835,4900,Component II,4910,4760,Hard and Katzenberg 2011,TCP
41AU36,,-10.79,-19.59,12,,4831,-4831,4900,Component II,,,NSF 2015,TCP
41VT1,,-11.41,-18.21,10.17,,4724,-4724,4900,Component II,,,NSF 2015,TCP
41AU36,,-9.82,-19.49,10.89,,4694,-4694,4700,Component II,,,NSF 2015,TCP
41VT1,,-9.69,-17.4,9.6,,4300,-4300,4300,Component II,,,NSF 2015,TCP
41VT1,,-10.19,-16.42,10.35,,4288,-4288,4300,Component II,,,NSF 2015,TCP
41VT1,,-8.25,-16.47,10.11,,4282,-4282,4300,Component II,,,NSF 2015,TCP
41VT1,,-11.2,-17.7,9.4,,4250,-4250,4300,Component II,,,NSF 2015,TCP
41VT1,,-8.29,-15.29,9.81,,4097,-4097,4100,Component II,,,NSF 2015,TCP
41VT1,,-12.12,-17.44,10.87,,4011,-4011,4100,Component II,,,NSF 2015,TCP
41AU36,,-6.45,-19.49,10.33,,3980,-3980,4100,Component II,,,NSF 2015,TCP
41VT1,,-9.08,-15.14,11.29,,3952,-3952,4100,Component II,,,NSF 2015,TCP
41VT1,,-12.13,-17.85,10.11,,3948,-3948,4100,Component II,,,NSF 2015,TCP
41VT1,52,-9.8,-17.9,10.1,3.2,3905,-3905,4100,Component II,4040,3770,Hard and Katzenberg 2011,TCP
41VT1,,-8.37,-14.53,12.57,,3890,-3890,3900,Component II,,,NSF 2015,TCP
41VT1,,-8.25,-16.7,9.2,,3800,-3800,3900,Component II,,,NSF 2015,TCP
41VT1,70a,-7.4,-16.2,11.1,3.3,3780,-3780,3900,Component II,3880,3680,Hard and Katzenberg 2011,TCP
41VT1,,-8.32,-13.94,12.48,,3775,-3775,3900,Component II,,,NSF 2015,TCP
41VT1,,-7.81,-16.62,9.52,,3753,-3753,3900,Component II,,,NSF 2015,TCP
41VT1,,-10.8,-14.77,12.7,,3695,-3695,3700,Component II,,,NSF 2015,TCP
41VT1,,-12.03,-17.82,9.35,,3679,-3679,3700,Component II,,,NSF 2015,TCP
41CF2,B11a,,-14.3,9.2,Unknown,3640,-3640,3700,Component II,3720-3560,,Terneny 2005,TCP
41VT1,,-11.78,-18,9.3,,3600,-3600,3700,Component II,,,NSF 2015,TCP
41VT1,,-12.17,-17.35,8.96,,3522,-3522,3700,Component II,,,NSF 2015,TCP
41FB3,14,-9.9,-19.4,11.2,3.2,3502.5,-3502.5,3700,Component II,3875,3130,Hard and Katzenberg 2011,TCP
41VT1,,-9.71,-16.63,10.05,,3472,-3472,3500,Component II,,,NSF 2015,TCP
41CF5,B8,,-13,10.8,Unknown,3410,-3410,3500,Component II,3470-3350,,Terneny 2005,TCP
41FB3,1,-9.1,-19.2,12.4,3.2,3405,-3405,3500,Component II,3680,3130,Hard and Katzenberg 2011,TCP
41VT1,,-6.37,-8.36,12.31,,3314,-3314,3500,Component II,,,NSF 2015,TCP
41FB3,37,-10.48,-18.58,13.3,,3300,-3300,3300,Component II,,,Hard and Katzenberg 2011,TCP
41CF2,,-7.11,-12.51,11.39,,3285,-3285,3300,Component II,,,NSF 2015,TCP
41VT1,,-10.97,-18.35,9.88,,3223,-3223,3300,Component II,,,NSF 2015,TCP
41VT1,,-10.94,-17.49,10.34,,3203,-3203,3300,Component II,,,NSF 2015,TCP
41NU2,,-10.5,-16.56,9.91,,3201,-3201,3300,Component II,,,NSF 2015,TCP
41VT1,,-12.28,-18.38,9.83,,3192,-3192,3300,Component II,,,NSF 2015,TCP
41VT1,,-8.35,-16.34,9.6,,3171,-3171,3300,Component II,,,NSF 2015,TCP
41VT1,,-10.18,-18.6,9.8,,3150,-3150,3300,Component II,,,NSF 2015,TCP
41AU36,,-6.29,-18.94,10.29,,3087,-3087,3100,Component II,,,NSF 2015,TCP
41VT1,,-11.63,-18,8.4,,2980,-2980,3100,Component II,,,NSF 2015,TCP
41VT1,,-13.2,-18.08,9.49,,2970,-2970,3100,Component II,,,NSF 2015,TCP
41VT1,,-9.83,-17.25,9.62,,2966,-2966,3100,Component II,,,NSF 2015,TCP
41VT1,,-11.42,-17.29,8.91,,2937,-2937,3100,Component II,,,NSF 2015,TCP
41VT1,,-10.68,-17.6,9.19,,2934,-2934,3100,Component II,,,NSF 2015,TCP
41VT1,,-11.27,-16.79,10.86,,2932,-2932,3100,Component II,,,NSF 2015,TCP
41VT1,,-9.99,-17.33,9.42,,2908,-2908,3100,Component II,,,NSF 2015,TCP
41VT1,,-11.42,-17.89,11.23,,2861,-2861,2900,Component III,,,NSF 2015,TCP
41VT1,155,-10.5,-17.7,9.6,3.2,2852.5,-2852.5,2900,Component III,2905,2800,Hard and Katzenberg 2011,TCP
41VT1,,-9.54,-17.78,9.53,,2819,-2819,2900,Component III,,,NSF 2015,TCP
41VT1,,-10.54,-17.67,8.31,,2794,-2794,2900,Component III,,,NSF 2015,TCP
41CF4,B1,,-14.1,11,Unknown,2790,-2790,2900,Component III,2840-2740,,Terneny 2005,TCP
